Binomial,Body_mass.g.,Tail_length.mm.,Age,Sex,Reproductive_stage,Body_molt,Flight_molt,Longitude_decimal_degrees,Latitude_decimal_degrees,State,Year,Date2,BreedingSeason,BodyCond,Pred,Residuals,Site
Trichothraupis_melanops,30,69,Adult,Female,Absent,Absent,Absent,-49.405145,-28.599546,SC,2012,8,OutsideBreeding,1.446,-0.172399222,0.792346844,1
Trichothraupis_melanops,27,76,Adult,Male,Absent,Absent,Absent,-49.405145,-28.599546,SC,2012,8,OutsideBreeding,0.539,-0.090217036,0.322694798,1
Trichothraupis_melanops,30,72,Adult,Female,Present,Absent,Absent,-47.949986,-24.16386,SP,2012,11,Breeding,5.576,0.368013723,2.016267438,2
Trichothraupis_melanops,21,75,Adult,Female,Absent,Absent,Absent,-46.02,-23.039,SP,2006,3,Breeding,-1.175,-0.393283855,-0.106458162,3
Trichothraupis_melanops,24,80.8,Adult,Male,Absent,Absent,Absent,-48.541493,-25.587558,PR,2016,7,OutsideBreeding,-0.55,0.110874447,-0.343616836,4
Trichothraupis_melanops,25,77.9,Adult,Male,Absent,Absent,Absent,-48.541493,-25.587558,PR,2014,6,OutsideBreeding,1.61,0.11087443,0.579133894,4
Trichothraupis_melanops,20.5,74.9,Adult,Female,Absent,Absent,Absent,-54.487792,-25.619635,PR,2015,10,Breeding,-3.157,-0.587094532,-0.759356703,5
Trichothraupis_melanops,25.5,79,Adult,Male,Absent,Absent,Absent,-49.671408,-28.649798,SC,2013,5,OutsideBreeding,0.557,-0.123803337,0.363970689,6
Trichothraupis_melanops,19.5,77,Adult,Female,Absent,Absent,Absent,-47.949986,-24.16386,SP,2013,4,OutsideBreeding,-8.813,-0.194119704,-3.568571362,2
Trichothraupis_melanops,17,76,Adult,Female,Absent,Absent,Absent,-46.02,-23.039,SP,2006,8,OutsideBreeding,-4.945,-0.393283176,-1.717000594,3
Trichothraupis_melanops,25,77.8,Adult,Female,Absent,Present,Absent,-48.512518,-27.531353,SC,2001,8,OutsideBreeding,-0.464,0.081632856,-0.277636096,7
Trichothraupis_melanops,24,74,Adult,Male,Absent,Present,Present,-44.204194,-23.183073,RJ,1996,2,Breeding,-0.425,0.160413441,-0.339755904,8
Trichothraupis_melanops,22,75,Adult,Female,Absent,Present,Present,-46.02,-23.039,SP,2006,3,Breeding,-0.175,-0.236206976,0.163664364,3
Trichothraupis_melanops,24,75,Adult,Female,Absent,Absent,Present,-47.949986,-24.16386,SP,2012,7,OutsideBreeding,0.265,-0.155932053,0.271357179,2
Trichothraupis_melanops,37,72,Adult,Female,Absent,Absent,Absent,-49.671408,-28.649798,SC,2013,9,OutsideBreeding,9.964,-0.205985523,4.46481767,6
Trichothraupis_melanops,23,75,Adult,Female,Absent,Present,Absent,-44.188333,-23.010833,RJ,2016,3,Breeding,-0.609,0.081632198,-0.339579352,9
Trichothraupis_melanops,22,80.1,Adult,Male,Absent,Present,Absent,-54.487792,-25.619635,PR,2014,3,Breeding,-1.557,-0.386023099,-0.27690909,5
Trichothraupis_melanops,21,76.6,Adult,Male,Absent,Absent,Absent,-54.487792,-25.619635,PR,2013,6,OutsideBreeding,-1.009,-0.504911652,0.076084737,5
Trichothraupis_melanops,26,74.8,Adult,Female,Absent,Present,Absent,-48.541493,-25.587558,PR,2009,10,Breeding,1.166,0.147580822,0.352750967,4
Trichothraupis_melanops,27,80,Adult,Male,Absent,Absent,Absent,-48.541493,-25.587558,PR,2004,10,Breeding,1.392,0.110873732,0.486005122,4
Trichothraupis_melanops,23.5,76,Adult,Male,Absent,Absent,Absent,-47.949986,-24.16386,SP,2012,8,OutsideBreeding,-0.005,-0.111937497,0.112018783,2
Trichothraupis_melanops,24,73,Adult,Female,Absent,Present,Absent,-48.541493,-25.587558,PR,2002,5,OutsideBreeding,-0.49,0.147581532,-0.354691957,4
Trichothraupis_melanops,23,71,Adult,Male,Absent,Absent,Absent,-46.509514,-23.977439,SP,2015,6,OutsideBreeding,-0.214,0.0449258,-0.134129189,10
Trichothraupis_melanops,22,75.9,Adult,Male,Absent,Present,Absent,-48.422847,-25.356797,PR,1998,5,OutsideBreeding,-2.413,0.048596337,-1.077211215,11
Trichothraupis_melanops,26,77.5,Adult,Female,Absent,Present,Absent,-48.541493,-25.587558,PR,2002,4,OutsideBreeding,1.168,0.147581532,0.353604656,4
Trichothraupis_melanops,22,74,Adult,Male,Absent,Absent,Absent,-47.949986,-24.16386,SP,2012,11,Breeding,-1.965,-0.111938175,-0.725291371,2
Trichothraupis_melanops,22,70,Adult,Male,Absent,Present,Present,-49.398056,-22.530694,SP,2014,2,Breeding,-1.05,0.138227853,-0.584569944,12
Trichothraupis_melanops,26,83,Adult,Male,Absent,Absent,Absent,-48.541493,-25.587558,PR,2015,7,OutsideBreeding,1.728,0.110874433,0.629543421,4
Trichothraupis_melanops,21,75,Adult,Male,Absent,Present,Present,-48.433333,-23.266667,SP,2010,1,Breeding,-2.136,-0.173889502,-0.736391142,13
Trichothraupis_melanops,22,67,Adult,Male,Absent,Present,Present,-46.016667,-23.033333,SP,2010,1,Breeding,-2.975,-0.004520564,-1.264180379,14
Trichothraupis_melanops,24,76,Adult,Male,Absent,Absent,Absent,-49.405145,-28.599546,SC,2013,4,OutsideBreeding,-1.84,-0.090217057,-0.693612563,1
Trichothraupis_melanops,24,75,Adult,Female,Absent,Present,Present,-48.054843,-20.091019,SP,2008,3,Breeding,1.031,-0.088309939,0.530969808,15
Trichothraupis_melanops,26,77,Adult,Female,Absent,Absent,Absent,-48.541493,-25.587558,PR,2006,8,OutsideBreeding,0.708,0.028692223,0.275982239,4
Trichothraupis_melanops,21,75,Adult,Female,Absent,Absent,Absent,-41.84374722,-20.41793889,MG,2014,3,Breeding,0.318,-0.012305271,0.150371965,16
